,pick1_encoded,pick2_encoded,pick3_encoded,pick4_encoded,pick5_encoded,winrate_pick1,winrate_pick2,winrate_pick3,winrate_pick4,winrate_pick5,count_pick1,count_pick2,count_pick3,count_pick4,count_pick5,kills,deaths,assists,team kpm,ckpm,gspd,gpr,gamelength,firstblood,firstdragon,dragons,elementaldrakes,firstherald,heralds,firstbaron,barons,firsttower,firstmidtower,firsttothreetowers,turretplates,earned gpm,goldat15,goldat20,goldat25,golddiffat15,golddiffat20,golddiffat25,xpdiffat20,xpdiffat25,wardsplaced,visionscore,wardskilled,controlwardsbought,cspm,minionkills,monsterkills,csat15,csdiffat15,csat20,csdiffat20,csat25,csdiffat25,damagetochampions,damagetakenperminute,damagemitigatedperminute
469,52,83,70,25,29,0.5961538461538461,0.45,0.4242424242424242,0.5,0.6428571428571429,52.0,20.0,33.0,18.0,28.0,6,12,15,0.2171,0.6514,-0.120494,-2.26,1658,1,0,1,1,1,1,0,0,0,0,0,3,926.8154,23646,32129,39877,-2755,-4915,-7076,-3380,-4613,91,208,37,43,32.9312,762,148,537,-29,701,-65,871,-103,39707,2965.9107,2623.9686
605,4,42,9,69,30,0.6,0.75,0.65,0.631578947368421,0.8125,15.0,8.0,60.0,19.0,16.0,19,5,43,0.6901,0.8717,0.17495,1.98,1652,0,1,3,3,0,0,1,1,1,1,1,6,1411.5254,26280,36924,50645,1151,3979,10972,4580,12365,79,217,42,29,34.54,796,155,509,60,656,65,857,119,77277,2438.3172,2816.4407
1565,70,59,3,48,52,0.4814814814814814,0.4375,0.75,0.6896551724137931,0.5769230769230769,27.0,16.0,8.0,29.0,26.0,21,7,39,0.8306,1.1074,0.238001,3.88,1517,1,0,0,0,0,0,1,1,1,1,1,3,1513.4476,27623,41351,54139,3977,10151,14779,7651,10778,103,250,43,31,34.5287,718,155,545,11,708,40,863,61,72703,3223.3487,3024.9967
798,3,35,75,37,54,0.6428571428571429,0.6896551724137931,0.4375,0.4285714285714285,0.5833333333333334,14.0,29.0,16.0,7.0,12.0,15,2,37,0.4862,0.5511,0.180497,3.05,1851,0,1,4,4,1,2,1,1,0,1,0,4,1320.4538,27389,36173,44696,3877,3910,4909,2574,3574,116,265,45,46,36.013,891,220,583,53,784,54,945,54,60549,1931.41,2483.047
1332,24,57,29,74,29,0.75,0.6,0.2307692307692307,0.3809523809523809,0.2142857142857142,4.0,5.0,13.0,21.0,14.0,6,18,17,0.1906,0.7623,-0.135722,-3.33,1889,0,0,0,0,0,0,0,0,0,0,0,4,1023.0492,23405,32090,40862,-3424,-3658,-3842,-1779,-2969,94,217,46,38,33.4463,888,165,496,-14,700,-25,874,-15,60263,3521.4505,2991.1382
559,3,87,103,57,76,0.3333333333333333,0.25,0.2666666666666666,0.3333333333333333,0.3684210526315789,3.0,8.0,15.0,6.0,19.0,14,15,31,0.3883,0.8044,-0.0307915,0.39,2163,1,1,3,3,1,1,0,0,1,1,1,9,1114.3412,25998,33217,41679,1970,508,543,92,996,123,288,46,60,31.4286,934,199,496,7,648,23,849,9,82647,3280.3883,5087.9334
1246,61,47,90,24,76,0.5,0.6470588235294118,0.6071428571428571,0.4705882352941176,0.7142857142857143,20.0,34.0,28.0,17.0,7.0,21,10,45,0.6716,0.9915,0.21669,4.12,1876,1,1,3,3,1,1,1,2,1,1,1,7,1439.5842,28221,41396,52099,5185,9493,13170,8190,12628,116,288,47,47,33.4861,877,170,551,50,718,56,916,99,92473,3031.2793,3948.2623
655,7,22,69,6,14,0.7575757575757576,0.75,1.0,0.6923076923076923,0.6,33.0,4.0,3.0,13.0,5.0,14,10,33,0.4511,0.7734,0.0838788,0.52,1862,1,1,2,2,1,1,1,1,1,1,1,4,1244.2427,24547,33742,42976,182,-91,1000,-1361,-1619,110,288,64,30,34.0279,878,178,553,-1,760,32,941,30,86492,1807.4436,1540.7948
1433,70,7,58,77,37,0.8205128205128205,0.7575757575757576,0.76,0.8181818181818182,0.8666666666666667,39.0,33.0,25.0,11.0,30.0,23,22,70,0.5376,1.0518,0.0629454,-0.85,2567,1,0,4,4,0,0,1,1,1,0,0,3,1240.2727,24786,34317,43286,-1940,-1780,-3569,-772,-4341,164,369,71,61,30.4324,1028,274,561,24,735,36,905,-4,148764,3397.5614,4987.4562
975,52,47,19,93,29,0.6595744680851063,0.375,0.4615384615384615,0.6111111111111112,0.6666666666666666,47.0,16.0,13.0,18.0,33.0,15,25,43,0.4058,1.055,0.0437493,0.14,2218,0,1,3,3,1,1,1,1,1,0,0,5,1120.8747,24953,35987,47565,-992,462,3894,-1645,2653,142,312,48,58,30.0271,899,211,504,7,684,26,808,14,106597,3308.0343,4163.1019
888,23,56,36,1,72,0.5,0.4444444444444444,0.375,0.5454545454545454,0.4,10.0,9.0,24.0,11.0,5.0,0,0,0,0.0,0.0,0.0,-0.5,201,0,0,0,0,0,0,0,0,0,1,0,0,512.8358,0,0,0,0,0,0,0,0,2,1,0,0,23.8806,60,20,0,0,0,0,0,0,1007,1274.6269,588.3582
